longitude,latitude,price,property_type,property_subtype,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,furnished,province,land_surface,balcony,swimming_pool,availability_clean
4.3581617,50.513555,390240,House,House,1975.0,New,158.0,3.0,1.0,False,False,Hainaut,852.0,False,False,Unknown
4.3581617,50.513555,412600,House,House,1975.0,New,190.0,4.0,2.0,False,False,Hainaut,852.0,False,False,Unknown
3.7172081,50.5085894,295000,House,House,1975.0,Excellent,95.0,2.0,1.0,False,False,Hainaut,891.0,False,False,Immediately
4.376359,50.4166487,327040,House,House,1975.0,New,128.0,3.0,1.0,False,False,Hainaut,595.0,False,False,Unknown
3.5964119,50.4933205,539000,House,Villa,2005.0,Excellent,275.0,6.0,3.0,False,False,Hainaut,1325.0,False,False,Unknown
4.50024643,50.39217925,359900,House,Villa,1974.0,Normal,166.0,3.0,2.0,False,False,Hainaut,765.0,False,False,Unknown
4.376359,50.4166487,372800,House,House,1975.0,New,206.0,4.0,2.0,False,False,Hainaut,595.0,False,False,Unknown
3.2337149,50.738441,149000,House,House,1930.0,To renovate,104.0,2.0,1.0,False,False,Hainaut,195.0,False,False,Unknown
3.5724713,50.685248,333200,House,House,2026.0,Excellent,143.0,3.0,1.0,False,False,Hainaut,573.0,False,False,Unknown
4.164217,50.4598209,290000,House,House,1975.0,Normal,222.0,5.0,1.0,False,False,Hainaut,573.0,False,False,On contract
4.1845623,50.4767824,149000,Appartment,Flat,1975.0,Normal,104.0,2.0,1.0,True,False,Hainaut,573.0,True,False,Unknown
4.4682652,50.4535222,165000,House,House,1975.0,Normal,130.0,2.0,1.0,False,False,Hainaut,430.0,False,False,On contract
4.5345233,50.3369535,295000,House,House,1971.0,Unknown,132.0,2.0,1.0,False,False,Hainaut,573.0,False,False,On contract
4.0790741,50.6972331,449000,House,Villa,1962.0,Normal,300.0,5.0,1.0,False,False,Hainaut,1221.0,False,False,Unknown
4.5809294,50.4080301,199000,House,House,1975.0,Excellent,152.0,3.0,1.0,False,False,Hainaut,99.0,False,False,Immediately
3.9519222,50.445663,300000,House,House,1980.0,To be renovated,167.0,3.0,3.0,False,False,Hainaut,573.0,False,False,On contract
3.9549668,50.4572941,295000,Appartment,Flat,1998.0,Excellent,85.0,2.0,1.0,True,False,Hainaut,573.0,False,False,On contract
4.4708406,50.4011295,155000,House,House,1975.0,To restore,110.0,2.0,1.0,False,False,Hainaut,80.0,False,False,Unknown
4.3221847,50.0470127,325500,House,Villa,1975.0,Normal,196.0,4.0,2.0,False,False,Hainaut,2542.0,False,False,Unknown
3.3745552,50.5923795,159000,House,House,1920.0,To be renovated,120.0,1.0,1.0,False,False,Hainaut,550.0,False,False,On contract
3.29394233,50.64091775,275000,House,House,2018.0,Normal,115.0,3.0,1.0,False,False,Hainaut,454.0,False,False,Unknown
4.5559932,50.4558192,175000,House,House,1975.0,Fully renovated,90.0,2.0,1.0,False,False,Hainaut,200.0,False,False,Unknown
4.4038906,50.4272183,339000,House,Villa,1975.0,To renovate,120.0,4.0,1.0,False,False,Hainaut,117.0,False,False,On contract
4.57732682,50.35622235,279000,House,House,1975.0,Normal,155.0,3.0,1.0,False,False,Hainaut,300.0,False,False,Unknown
4.43894993,50.42396816,87000,House,House,1975.0,To be renovated,105.0,2.0,1.0,False,False,Hainaut,185.0,False,False,On contract
4.4096578,50.4450814,105000,House,House,1975.0,To be renovated,119.0,2.0,1.0,False,False,Hainaut,123.0,False,False,Unknown
